,Package Name,App Name,App Description
0,com.burockgames.timeclocker,StayFree - Stay Focused,stayfree stayfree screen time tracker limit app usage self control productivity phone addiction controller app allows show much time spend smartphone help focus restricting usage apps set usage limit apps receive alert exceeding usage limit also view detail usage statistic usage history make stayfree special highest rated screen time self control app extremely fast userfriendly interface accurate usage statistic crossplatform usage statistic analysis quick customer support battery friendly totally adfree stayfree screen time tracker limit app usage help overcome phone addiction stay focused selfcontrol reduce screen time reduce distraction boost productivity unplug often increase digital wellbeing spend quality time family reduce wasted time digital detox apps feature app usage history view chart statistic usage history overuse reminder notify spending much time app start digital detox block mode temporarily block application overusing crossplatform stayfree multiplatform save time device linking android app chrome firefox extension focus mode create schedule distracting apps stay focused sleep mode schedule sleep time disable apps pause apps pause distracting apps stop using rest day export mode export usage history csv microsoft excel file inspiring quotation show inspiring quotation encourage productivity le usage phone interface customization five theme customize app want lock mode requires password change setting widget show used apps total usage nice widget pie chart graph view daily monthly application usage percentage app us accessibility service android accessibility service used detecting website turn blocking website requested block information maintained accordance privacy policy sensor tower using respective permission active consent enduser important wed really appreciate could rate u five star google play rating important u establishing trust user base suggestion want see something improved dont hesitate reach contact u love hearing user getting feedback run issue app suggestion improve please send u email hellostayfreegmailcom stayfree extension stayfree help stay focused avoid distracting website desktop well available firefox google chrome store
1,com.appbuck3t.screentime,Screen Time - Stay Focused,screen time limit phone usage stay focused take digital wellbeing app starting point make available android user lollipop offer deeper enhanced insight powerful customization screen time even allows set daily app usage limit enter focus mode setting downtime selected period better parental control break phone addiction take charge day screen time restrain stay focused screen time tracker manager parental control limit app usage smartphone track monitor screen time powerful screen time tracker set daily perapp limit limit screen time set focus mode timing allow important apps limit screen time compare screen time previous data limit app usage control cut screen time powerful screen time tracker control childrens excessive screen time enhanced parental control compare screen time previous data limit phone usage effectively limit phone usage time get detailed view screen time usage get daily screen time notification drawer beautiful graph statistic digital detox better life help spend quality time wisely disconnect want limit app usage limit phone usage daily app limit let set limit much use apps focus mode block selected apps selected time frame individual ending increasingly dependent cell phone individual dont underst invest great deal energy consistently application game utilizing screen time readily comprehend utilization cell phone regardless whether game application introduce screen time individual time executive mindfulness effective individual deal time better normally dont underst invest great deal energy certain application screen time tracker make increasingly mindful propensity utilizing phone help limit phone usage spend quality time wisely perhaps observed large number recording possibly invested excessive amount energy informal community daily weekly monthly app usage screen time tracker show detailed view mobile phone usage accurate use phone long used screen time tracker better allocate mobile phone usage time spend quality time wisely screen time tracker know daily duration app used daily app limit app better parental control set daily screen time limit app limit app usage usage time exceeds notified page similar app lock displayed remind usage app exceeded daily focus mode apps better parental control set daily focus mode app selected block focus mode notified page similar app lock displayed remind app allowed focus mode screen time limit phone usage stay focused deserves try right away simplest useful screen time tracker parental control application help spend quality time wisely always excited hear problem suggestion feel free contact u screen time restrain stay focused upload information including usage app data phone
2,tech.miidii.offscreen_android,OffScreen - Less Screen Time,offscreen help track phone usage keep stay focus offscreen track screen time set screen time goal get daily insight see screen time activity pickup checking every walking life stationary life last pickup first pickup best break sleep time read sleep data health app focus mode support three mode pomodoro countdown time accumulation support lock screen flip screen focus need use phone look dictionary use application concentration process set concentration app whitelist category focus session tag pause time need phone help study search youre focus mode visualize share data view data weekmonthyear view welldesigned share card ready breaking digital detox challenge screen time challenge pick challenge sleep challenge
3,phosphorus.app.usage.screen.time,Digitox : Screen Time,trusted globally five hundred thousand user stop screen addiction digital wellbeing feel getting addicted smartphone able feel real life think losing real social life wake phone side sleep next answered yes question might digital addicted let u help improve digital wellbeing digital health fight nomophobia nomophobia considered disorder modern world refers discomfort anxiety caused contact phone computer digital screen digitox help understand digital habit create digital usage limit selected application let digitox remind wisely exceed application limit reduce screen time stay focused reduce distraction increase efficiency productivity unplug often stop phubbing increase digital wellbeing break phone addiction manage screen time spend quality time family reduce wasted time digital diet key feature daily understanding digital habit screen time daily usage statistic categorised screen time digital usage report different period today yesterday last seven day digital limit reminder overuse alarm overview network statistic easy use battery friendly number unlocks notification supported android device parental control setting pin app limit categorise apps see main purpose phone predefined category edit title match life style game music movie video photo image social communication news magazine map navigation productivity health fitness app respect privacy never collect share private usage data rest assured everything see application stay phone support u thanks using app wed really appreciate could rate u five star google play rating important u concern suggestion please let u know take action aware digital life keep digital wellbeing high possible usage accessibility api purpose using service observe app action show overuse reminder instantly dont give permission wont warned exceed limit data collected service digitox app usage analytics tool get package display usage information user thats queryallpackages permission required app work see usage permission screenshots video well
4,com.ezlapp.screen.time,Screen Time,screen time manage time mobile apps often forgot reallife spend much time mobile phone falling deep game social network enough time study work family reallife activity download screen time remind important thing life screen time set limit time using app example set maximum time use facebook twitter 30min online excess limit screen time warning bring back reallife screen time also give information time usage apps know much time spent apps app used aslo added applock help protect private data enable applock feature protect sensitive information screen time app version one hundred one big update guest mode allow block guest user using apps guest mode never worry one borrow phone keep privacy highest level time block allow using app certain time example block using facebook ten pm spent time sleep activity
5,com.google.android.apps.wellbeing,Digital Wellbeing,see complete picture digital habit disconnect want get daily view digital habit frequently use different apps many notification receive often check phone unlock device disconnect want daily app timer let set limit much use apps bedtime mode reminds switch night setting schedule fade screen grayscale disturb silence notification good night sleep focus mode let pause distracting apps single tap better focus time also set schedule turn focus mode automatically reduce distraction youre work school home get started look digital wellbeing phone setting menu
6,com.app.floatingapptimer.com,Screen Time Digital Wellbeing,stayoff screen time phone usage tracker time hand save hour every day app blocker get better sleep limit screen time much screen time apps use trouble sleeping unhappy want limit phone use hobby want stop phone addiction watch much youtube want play le game try stayoff get space screen stayoff best screen time tracker app blocker one app free detailed screen time phone time every day every week free apps tracking many time open apps free weekly monthly summary free interesting app usage statistic long term average improvement digital wellbeing hour hour spend time phone easy slip phone addiction want prevent many interesting thing done instead phone use harm two way one using phone bed make sleep much worse sleep extremely important two using phone first thing waking cause le happy rest day digital wellbeing day important good sleep essential longevity health pro membership get access pro feature allow take full control phone usage always see app time screen really effective app blocker app time day screen time notification people average spend four hour day phone thats lot time wake go sleep average twelve hour thats thirty-three day track apps day read interesting stats phone usage average day worst day used apps percentage day screen time day use tracking day slacking total week time total month time get stayoff save time sleep well
7,master.app.screentime,Screen Time - Restrain yoursel,people becoming addicted mobile phone whether adult child whether time dinner party problem mobile addiction become serious people simply dont realize spend lot time every day apps game using screen time better understand usage mobile phone whether game app install screen time person time management awareness successful person manage time better usually dont realize spend lot time application screen time make aware habit using phone make adjustment accordingly maybe watched many video maybe spent much time social network app daily usage screen time show detailed view daily mobile phone usage accurate use phone hour apps opened long used screen time better allocate mobile phone usage time screen time know duration hour use type app used app weekly usage week app usage checking statistic mobile phone usage last week know daily mobile phone usage trend app category limit set daily duration limit app type app set different duration day weekend game usage time set different time limit day individually usage time arrives notified page similar app lock displayed remind usage app category overtime app always allowed list important application mobile phone text message telephone call etc whitelisted application use application longer restricted affect use upload information including usage app data phone
8,com.actiondash.playstore,ActionDash: Screen Time Helper,trusted globally one million user break phone addiction featured google essential app play store available seventeen global language including english german spanish french etc actiondash take digital wellbeing app starting point make available android user actiondash help find phonelife balance overcome phone addiction also help selfcontrol boost productivity showing much time spend favorite apps set app usage limit enter focus mode actiondash reduce screen time stay focused reduce distraction detect noisy apps increase efficiency productivity unplug often stop phubbing increase digital wellbeing break phone addiction manage screen time spend quality time family reduce wasted time digital diet key feature get daily view digital habit screen time much use apps total app launch history frequently use different apps notification history many notification receive unlock history often check phone unlock device sleep mode schedule sleep time disable apps stay focused selfcontrol focus mode let pause distracting apps single tap better focus time also set schedule turn focus mode automatically reduce distraction youre work school home app usage limit temporarily block application overusing stay focused deeper experience enhanced insight screen time breakdown usage average global usage average app session length breakdown
9,com.mindefy.phoneaddiction.mobilepe,YourHour - ScreenTime Control,trusted globally two million user curing phone addiction best tailored curated solution awaken selfrealization excessive usage available twenty-one global language including english german spanish french etc get personalized challenge recommendation break habit loop time feel getting addicted smartphone able stay focused waking sleeping next always affecting personal professional life lately feel like losing control decreasing productivity got smart digital solution achieve digital wellness app give variety fun userfriendly personalized feature help track control usage key feature yourhour dashboard gateway complete day dashboard provides essential information one place keep track usage time â€œ unlock count thereby give comparative infographic view today past seven day activity goal spot know level addiction analyzing data past seven day define category phone addict user currently belong listed six category visavis addicted obsessed dependent habitual achiever champion clock timer see day slip floating timer one unique feature show realtime statistic appears apps user see time slipping easily dragged dropped anywhere screen would even change color green amber red highlighting preset limit reached dont block notification call want user best judge time tap app section show comprehensive insight progress bar much individual apps used set limit numerous setting customized per preference phone daily routine timeline sequential diary whats cooking around whole day go recording every minute detail short much used apps multiple detailed report insightful daily weekly monthly report great analytics daily consolidated report get delivered everyday notification premium member also option export pdf format weekly monthly report export data xlsx format store personal data everything stored local storage entire data exported excelsheet since installation date data analysis statistic purpose widget everything screen user also enable cool widget home screen get summarized view without launch app day striving hard make everyone live healthy digital life stay smart stay healthy credit freely available image used go kirsty barnby ryan stone
